RequestingArea;RevenueStream;BudgetGroup;Weight
CTTE;Payments;Commercial;2,727272727
DNI;Payments;Commercial;2,727272727
ECM;Payments;Commercial;2,727272727
GP B2B;Payments;Commercial;2,727272727
GP B2C;Payments;Commercial;2,727272727
GP ECL;Payments;Commercial;2,727272727
GPG;Payments;Commercial;5,454545455
GS;Payments;Commercial;5,454545455
ACR;Payments;Corporate;1,785714286
AVC;Payments;Corporate;1,785714286
CF;Payments;Corporate;3,571428571
CL;Payments;Corporate;1,785714286
CMP;Payments;Corporate;1,785714286
DPO;Payments;Corporate;1,785714286
FL;Payments;Corporate;1,785714286
GRH;Payments;Corporate;1,785714286
GT;Payments;Corporate;1,785714286
PC;Payments;Corporate;1,785714286
RS;Payments;Corporate;1,785714286
ST;Payments;Corporate;1,785714286
TF;Payments;Corporate;1,785714286
EDO;Payments;Operations;3,333333333
EM;Payments;Operations;3,333333333
SEO;Payments;Operations;3,333333333
BCTT;Payments;Technology;4,166666667
SI;Payments;Technology;8,333333333
SI-CRP;Payments;Technology;4,166666667
SI-OPS;Payments;Technology;4,166666667
SI-PRD;Payments;Technology;4,166666667
CISO;Retail & Financial Services;CISO;5,0
CSI;Retail & Financial Services;Commercial;2,727272727
CTTE;Retail & Financial Services;Commercial;2,727272727
DNI;Retail & Financial Services;Commercial;2,727272727
ECM;Retail & Financial Services;Commercial;2,727272727
GP B2B;Retail & Financial Services;Commercial;2,727272727
GP B2C;Retail & Financial Services;Commercial;5,454545455
GP ECL;Retail & Financial Services;Commercial;2,727272727
GPG;Retail & Financial Services;Commercial;2,727272727
GS;Retail & Financial Services;Commercial;5,454545455
ACR;Retail & Financial Services;Corporate;2,142857143
AVC;Retail & Financial Services;Corporate;2,142857143
CF;Retail & Financial Services;Corporate;4,285714286
CL;Retail & Financial Services;Corporate;2,142857143
CMP;Retail & Financial Services;Corporate;2,142857143
DPO;Retail & Financial Services;Corporate;2,142857143
FL;Retail & Financial Services;Corporate;2,142857143
GRH;Retail & Financial Services;Corporate;2,142857143
GT;Retail & Financial Services;Corporate;2,142857143
PC;Retail & Financial Services;Corporate;2,142857143
RS;Retail & Financial Services;Corporate;2,142857143
ST;Retail & Financial Services;Corporate;2,142857143
TF;Retail & Financial Services;Corporate;2,142857143
EDO;Retail & Financial Services;Operations;3,333333333
EM;Retail & Financial Services;Operations;3,333333333
SEO;Retail & Financial Services;Operations;3,333333333
BCTT;Retail & Financial Services;Technology;3,333333333
SI;Retail & Financial Services;Technology;6,666666667
SI-CRP;Retail & Financial Services;Technology;3,333333333
SI-OPS;Retail & Financial Services;Technology;3,333333333
SI-PRD;Retail & Financial Services;Technology;3,333333333
IAD;Business Solutions;Data & AI;5,0
IAD;eCommerce;Data & AI;10,0
IAD;Fulfilment;Data & AI;5,0
IAD;Mail;Data & AI;5,0
IAD;Payments;Data & AI;5,0
IAD;Retail & Financial Services;Data & AI;5,0
